machine_type,temperature_motor,rpm,operating_mode,hours_since_maintenance,rul_hours,failure_type,estimated_repair_cost,maintenance_ratio
CNC,56.98,2977.2,normal,289.43,45.37,none,0.0,6.241751132197542
CNC,50.06,2838.1,normal,289.73,45.07,none,0.0,6.28890818319948
CNC,61.55,2825.6,normal,289.8,45.0,none,0.0,6.3
CNC,57.97,3017.8,normal,289.95,44.85,none,0.0,6.323882224645583
CNC,57.74,2881.2,normal,290.35,44.45,none,0.0,6.388338833883388
CNC,51.18,3050.8,normal,290.85,43.95,none,0.0,6.470522803114572
CNC,70.67,2875.1,normal,291.15,43.65,none,0.0,6.520716685330346
CNC,60.72,3086.5,normal,291.28,43.52,none,0.0,6.542677448337825
CNC,58.32,2874.3,normal,291.78,43.02,none,0.0,6.628350749659245
CNC,61.37,2813.8,normal,292.23,42.57,none,0.0,6.707137938948819
CNC,62.83,2829.3,normal,292.32,42.48,none,0.0,6.723091076356946
CNC,57.1,2919.6,normal,292.57,42.23,none,0.0,6.767753874624104
CNC,46.35,893.8,idle,292.62,42.18,none,0.0,6.77674849467346
CNC,62.85,2821.2,normal,292.7,42.1,none,0.0,6.791183294663573
CNC,40.27,890.3,idle,293.15,41.65,none,0.0,6.8733880422039855
CNC,59.65,3082.4,normal,293.28,41.52,none,0.0,6.897460018814674
CNC,64.42,2820.8,normal,293.4,41.4,none,0.0,6.919811320754716
CNC,50.27,2821.4,normal,293.47,41.33,none,0.0,6.932908103000237
CNC,62.67,2884.6,normal,293.78,41.02,none,0.0,6.991432651118513
CNC,46.97,901.5,idle,294.1,40.7,none,0.0,7.052757793764988
CNC,42.82,906.5,idle,294.53,40.27,none,0.0,7.136661012842257
CNC,56.19,2902.2,normal,294.82,39.98,none,0.0,7.1942410932162035
CNC,62.88,3026.4,normal,295.32,39.48,none,0.0,7.295454545454546
CNC,63.54,2896.0,normal,295.55,39.25,none,0.0,7.342857142857143
CNC,43.89,856.4,idle,295.82,38.98,none,0.0,7.399199599799901
CNC,64.25,2989.6,normal,296.23,38.57,none,0.0,7.486226939600708
CNC,42.93,902.7,idle,296.63,38.17,none,0.0,7.57288741383712
CNC,61.84,2817.3,normal,296.77,38.03,none,0.0,7.6036382270048675
CNC,44.42,858.2,idle,297.08,37.72,none,0.0,7.672520661157025
CNC,47.62,855.9,idle,297.13,37.67,none,0.0,7.683734160848203
CNC,40.73,855.7,idle,297.62,37.18,none,0.0,7.795180722891566
CNC,49.87,906.9,idle,297.92,36.88,none,0.0,7.864836325237592
CNC,49.86,855.9,idle,298.27,36.53,none,0.0,7.947508659738875
CNC,45.58,857.8,idle,298.5,36.3,none,0.0,8.002680965147453
CNC,40.11,858.3,idle,298.65,36.15,none,0.0,8.039030955585464
CNC,46.49,917.4,idle,298.72,36.08,none,0.0,8.056094929881338
CNC,42.86,917.4,idle,299.02,35.78,none,0.0,8.129961935834691
CNC,49.7,886.9,idle,299.4,35.4,none,0.0,8.225274725274724
CNC,40.74,886.6,idle,299.63,35.17,none,0.0,8.283936964335084
CNC,50.06,890.9,idle,299.9,34.9,none,0.0,8.35376044568245
CNC,50.06,856.0,idle,299.97,34.83,none,0.0,8.3720346078705
CNC,59.3,2939.1,normal,300.3,34.5,none,0.0,8.459154929577466
CNC,45.84,919.0,idle,300.43,34.37,none,0.0,8.49392140231835
CNC,58.04,3005.4,normal,300.65,34.15,none,0.0,8.553342816500711
CNC,49.11,856.0,idle,300.87,47.99,none,0.0,6.141457440293937
CNC,44.22,852.8,idle,301.05,47.81,none,0.0,6.16779348494161
CNC,43.81,860.1,idle,301.08,47.78,none,0.0,6.17220172201722
CNC,55.77,3049.5,normal,301.17,47.69,none,0.0,6.185459026494147
CNC,44.23,909.8,idle,301.25,47.61,none,0.0,6.197284509360214
CNC,50.11,902.8,idle,301.38,47.48,none,0.0,6.216584158415842
CNC,48.64,857.8,idle,301.55,47.31,none,0.0,6.241978886358932
CNC,46.21,891.9,idle,301.6,47.26,none,0.0,6.249481972648157
CNC,41.3,902.6,idle,301.63,47.23,none,0.0,6.253991291727141
CNC,48.71,909.7,idle,301.75,47.11,none,0.0,6.27208480565371
CNC,41.53,891.7,idle,301.78,47.08,none,0.0,6.276622296173045
CNC,42.34,856.0,idle,301.88,46.98,none,0.0,6.2917882451021265
CNC,44.15,872.3,idle,301.98,46.88,none,0.0,6.307017543859649
CNC,62.08,3048.7,normal,302.43,46.43,none,0.0,6.376344086021506
CNC,41.88,864.5,idle,302.82,46.04,none,0.0,6.4375
CNC,65.21,2974.7,normal,303.32,45.54,none,0.0,6.517404383326171
CNC,51.68,2830.1,normal,303.47,45.39,none,0.0,6.54171157577064
CNC,60.26,3049.2,normal,303.97,44.89,none,0.0,6.623883198954021
CNC,70.09,3784.0,peak,304.42,44.44,none,0.0,6.699383802816902
CNC,55.01,2812.5,normal,304.87,43.99,none,0.0,6.776394754389864
CNC,42.94,890.4,idle,305.1,43.76,none,0.0,6.8163538873994645
CNC,72.57,4022.2,peak,305.57,43.29,none,0.0,6.89930006773538
CNC,52.0,2991.8,normal,306.05,42.81,none,0.0,6.985847979913261
CNC,54.26,2951.9,normal,306.25,42.61,none,0.0,7.02247191011236
CNC,50.06,856.0,normal,306.47,42.39,none,0.0,7.0631481908273805
CNC,64.66,2797.2,normal,306.78,42.08,none,0.0,7.12116991643454
CNC,59.26,2876.2,normal,306.95,41.91,none,0.0,7.153344208809136
CNC,56.12,2799.4,normal,307.03,41.83,none,0.0,7.168573429838897
CNC,60.24,2910.1,normal,307.28,41.58,none,0.0,7.216533583842179
CNC,59.47,2888.3,normal,307.62,41.24,none,0.0,7.282670454545454
CNC,64.29,3912.8,peak,307.92,40.94,none,0.0,7.341917024320459
CNC,51.43,843.8,idle,308.33,40.53,none,0.0,7.424271610883698
CNC,63.82,3821.9,peak,308.72,40.14,none,0.0,7.504132231404959
CNC,50.62,864.2,idle,308.8,40.06,none,0.0,7.520701412566975
CNC,53.39,3007.4,normal,309.05,39.81,none,0.0,7.572898799313894
CNC,55.6,3025.4,normal,309.18,39.68,none,0.0,7.600294985250738
CNC,60.41,2803.6,normal,309.68,39.18,none,0.0,7.707317073170732
CNC,58.32,2779.6,normal,310.15,38.71,none,0.0,7.8103752203475185
CNC,56.34,2885.3,normal,310.48,38.38,none,0.0,7.884205180294566
CNC,52.86,2760.2,normal,310.87,37.99,none,0.0,7.973070017953321
CNC,45.4,878.2,idle,311.32,37.54,none,0.0,8.077841203943954
CNC,61.19,2839.1,normal,311.7,37.16,none,0.0,8.168238993710693
CNC,64.81,2948.3,normal,312.13,36.73,none,0.0,8.272727272727273
CNC,55.09,2901.9,normal,312.23,36.63,none,0.0,8.297369120382672
CNC,43.87,840.2,idle,312.72,36.14,none,0.0,8.420032310177707
CNC,64.76,2833.8,normal,313.05,35.81,none,0.0,8.504482477587612
CNC,58.46,2838.2,normal,313.2,35.66,none,0.0,8.543371522094926
CNC,45.68,843.1,idle,313.68,35.18,none,0.0,8.669983416252073
CNC,46.54,869.6,idle,313.8,35.06,none,0.0,8.70216306156406
CNC,66.86,2763.3,normal,314.12,34.74,none,0.0,8.789031897034135
CNC,62.16,2949.9,normal,314.57,34.29,none,0.0,8.91385661660527
CNC,66.2,3699.7,peak,314.77,34.09,none,0.0,8.970361926474778
CNC,50.6,880.4,idle,315.18,33.68,none,0.0,9.088235294117647
CNC,51.5,878.3,idle,315.45,33.41,none,0.0,9.167393199651265
CNC,45.36,867.4,idle,315.62,33.24,none,0.0,9.2178738317757
CNC,61.3,2764.1,normal,316.05,32.81,none,0.0,9.347826086956522
CNC,49.01,887.2,idle,316.12,32.74,none,0.0,9.369294605809129
CNC,62.07,2713.3,normal,316.62,32.24,none,0.0,9.525270758122744
CNC,67.35,2973.2,normal,317.02,31.84,none,0.0,9.653471376370279
CNC,55.7,2827.5,normal,317.22,31.64,none,0.0,9.71875
CNC,67.48,2735.9,normal,317.47,31.39,none,0.0,9.801481938870023
CNC,51.86,879.3,idle,317.5,31.36,none,0.0,9.8114956736712
CNC,71.52,3765.1,peak,317.53,31.33,none,0.0,9.821527992576554
CNC,61.66,3819.5,peak,318.03,30.83,none,0.0,9.991517436380773
CNC,50.06,849.5,idle,318.35,30.51,none,0.0,10.10314185972707
CNC,60.47,2841.0,normal,318.52,30.34,none,0.0,10.163369495851946
CNC,52.91,860.6,idle,318.9,29.96,none,0.0,10.300387596899224
CNC,73.06,3699.3,peak,319.0,29.86,none,0.0,10.33700583279326
CNC,55.13,2864.0,normal,319.33,29.53,none,0.0,10.459547985587946
CNC,51.37,830.9,idle,319.43,29.43,none,0.0,10.497206703910615
CNC,54.46,2709.4,normal,319.63,29.23,none,0.0,10.57327158451869
CNC,48.49,843.3,idle,319.87,28.99,none,0.0,10.665888629543181
CNC,45.61,879.1,idle,320.33,28.53,none,0.0,10.847612597358617
CNC,46.81,816.8,idle,320.55,28.31,none,0.0,10.936540429887412
CNC,51.27,829.9,idle,320.6,28.26,none,0.0,10.956937799043063
CNC,50.84,856.0,idle,320.63,28.23,none,0.0,10.969209716045158
CNC,50.67,831.2,idle,320.72,28.14,none,0.0,11.00617707618394
CNC,52.79,858.9,idle,321.15,27.71,none,0.0,11.18599791013584
CNC,47.24,819.1,idle,321.55,27.31,none,0.0,11.358177322500884
CNC,44.6,841.4,idle,321.63,27.23,none,0.0,11.393198724760893
CNC,52.55,838.2,idle,321.87,26.99,none,0.0,11.4994640943194
CNC,47.14,849.0,idle,322.27,26.59,none,0.0,11.680681406306633
CNC,58.92,2714.2,normal,322.45,26.41,none,0.0,11.763954761036118
CNC,49.44,839.6,idle,322.78,26.08,none,0.0,11.919497784342688
CNC,47.3,828.0,idle,323.0,25.86,none,0.0,12.025316455696203
CNC,53.01,821.8,idle,323.25,25.61,none,0.0,12.147688838782413
CNC,55.02,2832.0,normal,323.62,25.24,none,0.0,12.333079268292684
CNC,50.31,823.3,idle,323.73,25.13,none,0.0,12.389207807118256
CNC,56.91,2834.5,normal,324.18,24.68,none,0.0,12.623831775700936
CNC,51.61,835.7,idle,324.65,24.21,none,0.0,12.877826259420864
CNC,62.83,2868.7,normal,325.12,23.74,hydraulic,3403.0,13.141471301535976
CNC,51.15,825.6,idle,325.45,23.41,hydraulic,2831.0,13.332650553052027
CNC,52.34,837.9,idle,325.57,23.29,hydraulic,2645.0,13.403458213256485
CNC,54.62,807.4,idle,326.07,22.79,hydraulic,3616.0,13.706179066834805
CNC,51.23,844.7,idle,326.2,22.66,hydraulic,2484.0,13.78698224852071
CNC,53.07,852.7,idle,326.6,22.26,hydraulic,1570.0,14.041272570937231
CNC,52.26,858.6,idle,326.67,22.19,hydraulic,3882.0,14.086675291073739
CNC,52.37,856.0,idle,326.88,21.98,hydraulic,3754.0,14.224543080939947
CNC,54.63,833.1,idle,327.08,21.78,hydraulic,2444.0,14.35820895522388
CNC,50.9,856.8,idle,327.17,21.69,hydraulic,2258.0,14.419127368884972
CNC,52.43,835.5,idle,327.3,21.56,hydraulic,3648.0,14.507978723404257
CNC,55.46,849.2,idle,327.65,21.21,hydraulic,2431.0,14.752363800090048
CNC,58.34,2652.1,normal,327.87,20.99,hydraulic,2623.0,14.909959072305595
CNC,68.69,3853.1,peak,327.92,20.94,hydraulic,2017.0,14.946216955332725
CNC,54.33,856.1,idle,328.28,20.58,hydraulic,3851.0,15.212233549582947
CNC,64.69,2660.7,normal,328.47,20.39,hydraulic,1710.0,15.3562412342216
CNC,69.57,3669.2,peak,328.63,20.23,hydraulic,3141.0,15.47951012717852
CNC,67.71,2886.6,normal,328.92,19.94,hydraulic,2111.0,15.707736389684813
CNC,59.43,2639.7,normal,329.37,19.49,hydraulic,1985.0,16.07467057101025
CNC,51.3,864.6,idle,329.68,19.18,hydraulic,2424.0,16.336967294350842
CNC,67.61,2806.1,normal,330.12,18.74,hydraulic,3910.0,16.72340425531915
CNC,70.91,2746.5,normal,330.37,18.49,hydraulic,1906.0,16.95074397126732
CNC,59.82,2706.1,normal,330.8,18.06,hydraulic,2143.0,17.355718782791186
CNC,59.77,2902.2,normal,330.95,17.91,hydraulic,3345.0,17.50132205182443
CNC,62.11,2889.0,normal,331.35,17.51,hydraulic,2658.0,17.901134521880063
CNC,47.33,857.2,idle,331.75,17.11,hydraulic,2583.0,18.31860850358918
CNC,52.66,809.7,idle,332.2,16.66,hydraulic,2310.0,18.810872027180068
CNC,66.32,2680.4,normal,332.45,16.41,hydraulic,2588.0,19.095347501435956
CNC,59.99,2711.0,normal,332.92,15.94,hydraulic,3937.0,19.652892561983474
CNC,56.46,857.4,idle,333.33,15.53,hydraulic,3419.0,20.165154264972774
CNC,62.79,2651.2,normal,333.73,15.13,hydraulic,3711.0,20.690018598884066
CNC,60.28,2772.2,normal,334.02,14.84,hydraulic,2820.0,21.08712121212121
CNC,58.35,2640.7,normal,334.37,14.49,hydraulic,3856.0,21.586184635248546
CNC,81.3,3714.8,peak,334.7,14.16,hydraulic,2603.0,22.077836411609496
CNC,58.42,2673.0,normal,335.03,13.83,hydraulic,3311.0,22.591368846931893
CNC,64.59,2790.0,normal,335.2,13.66,hydraulic,3514.0,22.864938608458388
CNC,69.94,2764.3,normal,335.27,13.59,hydraulic,1928.0,22.97943797121316
CNC,62.49,2670.8,normal,335.75,13.11,hydraulic,3140.0,23.795180722891565
CNC,55.34,843.6,idle,336.22,12.64,hydraulic,2533.0,24.649560117302055
CNC,69.97,2764.4,normal,336.42,12.44,hydraulic,1504.0,25.031250000000004
CNC,49.08,788.3,idle,336.8,12.06,hydraulic,3623.0,25.788667687595712
CNC,59.46,2633.7,normal,337.02,11.84,hydraulic,1711.0,26.247663551401867
CNC,70.04,2667.9,normal,337.15,11.71,hydraulic,3485.0,26.52635719905586
CNC,72.3,2763.6,normal,337.23,11.63,hydraulic,2148.0,26.700712589073635
CNC,69.32,2736.8,normal,337.42,11.44,hydraulic,1964.0,27.12379421221865
CNC,71.48,3536.9,peak,337.68,11.18,hydraulic,2695.0,27.724137931034484
CNC,54.61,830.0,idle,337.98,10.88,hydraulic,3434.0,28.449494949494948
CNC,66.5,2595.2,normal,338.13,10.73,hydraulic,3955.0,28.82608695652174
CNC,57.56,791.9,idle,338.43,10.43,hydraulic,3199.0,29.608923884514436
CNC,66.29,3636.0,peak,338.63,10.23,hydraulic,2658.0,30.154051647373105
CNC,68.21,2852.6,normal,339.05,9.81,hydraulic,3505.0,31.364477335800185
CNC,64.83,2765.7,normal,339.53,9.33,hydraulic,3760.0,32.86834462729912
CNC,59.39,2647.2,normal,339.97,8.89,hydraulic,2272.0,34.375126390293225
CNC,60.5,2685.1,normal,340.37,8.49,hydraulic,3182.0,35.86617492096944
CNC,64.2,2681.9,normal,340.42,8.44,hydraulic,3061.0,36.061440677966104
CNC,70.2,3664.3,peak,340.65,8.21,hydraulic,2123.0,36.98697068403908
CNC,81.04,3533.8,peak,340.93,7.93,hydraulic,2859.0,38.17805151175812
CNC,70.1,2772.4,normal,341.42,7.44,hydraulic,3371.0,40.452606635071085
CNC,49.77,817.6,idle,341.45,7.41,hydraulic,2132.0,40.60047562425684
CNC,65.69,2751.1,normal,341.52,7.34,hydraulic,3128.0,40.94964028776978
CNC,61.56,2720.4,normal,341.88,6.98,hydraulic,3685.0,42.84210526315789
CNC,80.16,3476.6,peak,342.12,6.74,hydraulic,3498.0,44.201550387596896
CNC,64.59,2636.4,normal,342.6,6.26,hydraulic,2677.0,47.190082644628106
CNC,57.33,806.5,idle,342.75,6.11,hydraulic,1911.0,48.20675105485232
CNC,62.41,2690.6,normal,343.02,5.84,hydraulic,2828.0,50.14912280701754
CNC,69.42,2640.7,normal,343.47,5.39,hydraulic,2500.0,53.75117370892019
CNC,60.26,2571.2,normal,343.77,5.09,hydraulic,2217.0,56.44827586206896
CNC,50.28,824.9,idle,343.83,5.03,hydraulic,3538.0,57.01990049751243
CNC,50.69,818.3,idle,344.17,4.69,hydraulic,2545.0,60.486818980667834
CNC,58.46,817.7,idle,344.55,4.31,hydraulic,3738.0,64.88700564971752
CNC,50.06,824.3,idle,344.67,4.19,hydraulic,2725.0,66.41040462427746
CNC,72.62,2665.5,normal,345.03,3.83,hydraulic,2737.0,71.43478260869564
CNC,67.13,2558.0,normal,345.17,3.69,hydraulic,3062.0,73.59701492537314
CNC,50.9,832.9,idle,345.5,3.36,hydraulic,1589.0,79.24311926605506
CNC,51.22,801.7,idle,345.97,2.89,hydraulic,1700.0,88.93830334190231
CNC,56.66,831.3,idle,346.32,2.54,hydraulic,2442.0,97.83050847457626
CNC,51.54,770.8,idle,346.67,2.19,hydraulic,2526.0,108.67398119122258
CNC,54.25,815.2,idle,347.05,1.81,hydraulic,2060.0,123.50533807829181
CNC,53.16,770.1,idle,347.42,1.44,hydraulic,3305.0,142.38524590163937
CNC,55.5,798.2,idle,347.47,1.39,hydraulic,2708.0,145.38493723849376
CNC,58.76,804.5,idle,347.67,1.19,hydraulic,3709.0,158.75342465753425
CNC,63.02,2722.3,normal,348.17,0.69,hydraulic,2173.0,206.01775147928996
CNC,70.63,2587.3,normal,348.33,0.53,hydraulic,2708.0,227.66666666666666
CNC,62.69,2587.4,normal,348.75,0.5,hydraulic,1808.0,232.5
CNC,54.45,802.4,idle,348.85,0.5,hydraulic,3127.0,232.5666666666667
CNC,62.5,2930.8,normal,0.0,26.79,none,0.0,0.0
CNC,68.31,2870.5,normal,0.27,26.53,none,0.0,0.00980748274609517
CNC,57.86,2835.7,normal,0.43,26.36,none,0.0,0.015716374269005847
CNC,63.29,2943.5,normal,0.65,26.14,none,0.0,0.023949889462048637
CNC,59.35,2930.8,normal,0.68,26.11,none,0.0,0.025082995204721507
CNC,79.25,3967.0,peak,0.88,25.91,none,0.0,0.032701597918989224
CNC,58.6,2891.0,normal,0.95,25.84,none,0.0,0.03539493293591654
CNC,57.64,3007.8,normal,1.35,25.44,none,0.0,0.0510590015128593
CNC,64.69,3022.9,normal,1.45,25.34,none,0.0,0.055049354593773726
CNC,57.24,2987.2,normal,1.73,25.06,none,0.0,0.06638526477359939
CNC,65.0,2773.1,normal,2.05,24.74,none,0.0,0.07964257964257965
CNC,70.62,3903.5,peak,2.43,24.36,none,0.0,0.09582018927444796
CNC,58.9,856.0,normal,2.75,24.04,none,0.0,0.10982428115015974
CNC,54.45,875.3,idle,2.85,23.94,bearing,4504.0,0.11427425821972734
CNC,66.9,2737.7,normal,3.2,23.59,bearing,2634.0,0.13013420089467265
CNC,68.09,2920.2,normal,3.6,23.19,bearing,3467.0,0.14882182720132286
CNC,67.67,3018.2,normal,4.08,22.71,bearing,4004.0,0.1720792914382117
CNC,82.61,3927.1,peak,4.4,22.39,bearing,2748.0,0.1881145788798632
CNC,69.16,2820.1,normal,4.63,22.16,bearing,4362.0,0.19991364421416236
CNC,56.18,856.7,idle,4.7,22.09,bearing,4945.0,0.2035513209181464
CNC,59.91,2819.1,normal,4.73,22.06,bearing,3015.0,0.2051170858629662
CNC,64.19,2853.9,normal,5.18,21.61,bearing,4770.0,0.22910216718266252
CNC,63.89,2898.7,normal,5.32,21.48,bearing,3454.0,0.23665480427046265
CNC,54.54,885.1,idle,5.52,21.28,bearing,4941.0,0.2477558348294434
CNC,65.55,2832.8,normal,5.55,21.24,bearing,3032.0,0.24955035971223022
CNC,67.16,2944.0,normal,5.87,20.93,bearing,2605.0,0.26766985864113085
CNC,69.26,2777.8,normal,5.97,20.83,bearing,3474.0,0.27347686669720567
CNC,68.31,2989.9,normal,6.3,20.49,bearing,2714.0,0.2931596091205212
CNC,57.97,858.6,idle,6.4,20.39,bearing,2760.0,0.29920523609163163
CNC,62.99,2875.7,normal,6.68,20.11,bearing,4931.0,0.3164377072477499
CNC,67.9,2838.9,normal,6.77,20.03,bearing,2677.0,0.3219210651450309
CNC,50.68,860.5,idle,7.18,19.61,bearing,4635.0,0.34837457544881123
CNC,60.53,2996.9,normal,7.37,19.43,bearing,2749.0,0.3607440039158101
CNC,57.08,856.0,idle,7.65,19.14,bearing,2942.0,0.3798411122144985
CNC,55.13,839.7,idle,7.93,18.86,bearing,2830.0,0.3992950654582075
CNC,68.33,2976.2,normal,8.13,18.66,bearing,3626.0,0.41353001017294
CNC,51.65,879.5,idle,8.48,18.31,bearing,3831.0,0.4391506991196272
CNC,69.36,856.0,normal,8.72,18.08,bearing,4358.0,0.4570230607966458
CNC,50.06,837.9,idle,9.02,17.78,bearing,2968.0,0.48029818956336523
CNC,49.84,859.9,idle,9.5,17.29,bearing,4758.0,0.519409513395298
CNC,65.59,2996.0,normal,9.92,16.88,bearing,3435.0,0.5548098434004475
CNC,56.75,870.8,idle,10.17,16.63,bearing,4203.0,0.5768576290414067
CNC,59.84,870.9,idle,10.58,16.21,bearing,3544.0,0.6147588611272515
CNC,64.11,2966.0,normal,10.8,15.99,bearing,4442.0,0.6356680400235433
CNC,53.25,826.3,idle,10.87,15.93,bearing,4268.0,0.642055522740697
CNC,50.73,858.1,idle,10.95,15.84,bearing,3032.0,0.6502375296912114
CNC,56.66,843.8,idle,11.27,15.53,bearing,4800.0,0.6817906836055656
CNC,60.15,870.5,idle,11.47,15.33,bearing,4232.0,0.7023882424984692
CNC,61.26,2754.1,normal,11.95,14.84,bearing,3678.0,0.7544191919191919
CNC,52.48,850.8,idle,12.3,14.49,bearing,4578.0,0.7940606843124597
CNC,53.99,882.8,idle,12.43,14.36,bearing,2943.0,0.8092447916666666
CNC,50.06,882.6,idle,12.65,14.14,bearing,3641.0,0.8355350066050198
CNC,59.1,825.7,idle,12.98,13.81,bearing,4797.0,0.8764348413234301
CNC,52.1,867.2,idle,13.42,13.38,bearing,4780.0,0.933240611961057
CNC,53.86,825.2,idle,13.45,13.34,bearing,3595.0,0.9379358437935843
CNC,56.38,849.5,idle,13.48,13.31,bearing,3765.0,0.9419986023759609
CNC,56.06,886.0,idle,13.68,13.11,bearing,3086.0,0.969525159461375
CNC,53.1,873.9,idle,14.02,12.78,bearing,2625.0,1.0174165457184325
CNC,59.81,872.0,idle,14.08,12.71,bearing,4219.0,1.0269876002917577
CNC,51.92,865.4,idle,14.35,12.44,bearing,3828.0,1.0677083333333333
CNC,75.88,2733.3,normal,14.78,12.01,bearing,2715.0,1.1360491929285166
CNC,60.51,869.6,idle,14.88,11.91,bearing,2834.0,1.152594887683966
CNC,56.36,842.7,idle,15.05,11.74,bearing,4986.0,1.1813186813186813
CNC,51.67,854.7,idle,15.32,11.48,bearing,4598.0,1.2275641025641026
CNC,55.76,847.2,idle,15.4,11.39,bearing,4929.0,1.2429378531073445
CNC,57.94,861.1,idle,15.68,11.11,bearing,3403.0,1.2947976878612717
CNC,62.52,2708.5,normal,15.92,10.88,bearing,3337.0,1.34006734006734
CNC,62.53,2760.1,normal,16.1,10.69,bearing,3546.0,1.3772455089820361
CNC,63.54,2890.2,normal,16.28,10.51,bearing,4263.0,1.4144222415291052
CNC,69.39,2867.7,normal,16.4,10.39,bearing,3442.0,1.439859525899912
CNC,71.21,2727.1,normal,16.7,10.09,bearing,3950.0,1.5058611361587015
CNC,68.62,2808.6,normal,16.77,10.03,bearing,4286.0,1.5203989120580237
CNC,72.88,2809.1,normal,16.8,9.99,bearing,3782.0,1.5286624203821657
CNC,62.27,2727.7,normal,17.13,9.66,bearing,4210.0,1.6069418386491556
CNC,65.27,2968.7,normal,17.32,9.48,bearing,3830.0,1.6526717557251909
